"block","term","label","estimate","se","edf"
"b_i_shoulder_re","s(ID).23","Henninger et al._2.0",-3.49310830841623,1.55647810025396,0.939100309829513
"b_i_shoulder_re","s(ID).24","Henninger et al._20.0",7.37822781249502,1.55712644041109,0.939049564575827
"b_i_shoulder_re","s(ID).25","Henninger et al._3.0",-10.0496845635302,1.53806537163164,0.940532642158534
"b_i_shoulder_re","s(ID).26","Henninger et al._4.0",-0.927884540655175,1.58228152274906,0.937064372409115
"b_i_shoulder_re","s(ID).27","Henninger et al._5.0",-6.53534795925791,1.5470433820287,0.939836369027587
"b_i_shoulder_re","s(ID).28","Henninger et al._6.0",-3.55426660088712,1.57617155520977,0.937549484821026
"b_i_shoulder_re","s(ID).29","Henninger et al._7.0",2.97659556186097,1.57497823479558,0.93764401166807
"b_i_shoulder_re","s(ID).30","Henninger et al._8.0",6.56634035016855,1.49184276265652,0.944053212047655
"b_i_shoulder_re","s(ID).31","Henninger et al._9.0",5.52825072056495,1.51310832948707,0.942446850035196
"b_i_shoulder_re","s(ID).32","Ludewig et al._",-11.9171535406642,1.62980171515212,0.933227352650744
"b_i_shoulder_re","s(ID).33","Matsumura et al._",3.34281448088145,2.08160613961102,0.891075349670988
"b_i_shoulder_re","s(ID).34","Moissenet et al._1.0",-3.20799488495868,1.83421567639724,0.91542736618003
"b_i_shoulder_re","s(ID).35","Moissenet et al._10.0",-11.504981831555,1.86006485695061,0.913026844096264
"b_i_shoulder_re","s(ID).36","Moissenet et al._2.0",2.06750578864386,1.83465864447228,0.915386512205226
"b_i_shoulder_re","s(ID).37","Moissenet et al._3.0",8.81903652436191,1.84552583765625,0.914381165100904
"b_i_shoulder_re","s(ID).38","Moissenet et al._4.0",-4.10982592793307,1.82541335027059,0.916237139703481
"b_i_shoulder_re","s(ID).39","Moissenet et al._5.0",-5.79770242867052,1.80976457943869,0.917667136148054
"b_i_shoulder_re","s(ID).40","Moissenet et al._6.0",-2.56772836377858,1.84769667284996,0.914179625041668
"b_i_shoulder_re","s(ID).41","Moissenet et al._7.0",4.89937927822256,1.8252341431496,0.916253585473636
"b_i_shoulder_re","s(ID).42","Moissenet et al._8.0",10.239123812846,1.85513222583916,0.913487513691246
"b_i_shoulder_re","s(ID).43","Moissenet et al._9.0",-4.69424514628506,1.8244463544441,0.916325861397387
"b_i_shoulder_re","s(ID).44","Oki et al._",4.97929988729263,2.07569762002091,0.89169282483189
